Manufacturer Name,Model Number,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2
Alpha ESS Co.. Ltd.,SMILE-BAT-8.2PHA,8.20,9.80
ARK Battery LLC,16IFR51.2-100-Y,5.12,5.12
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M00,240.00,120.00
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M00,240.00,120.00
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M01,247.00,120.00
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M01,247.00,120.00
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R1M02,255.00,120.00
BYD Auto Industry Company Limited,BCO274-C15H1000V-U-R2M0,255.00,120.00
Darfon Electronics Corp.,B07ULF-xxx,7.20,5.70
Darfon Electronics Corp.,B09ULF-xxx,9.60,5.70
Darfon Electronics Corp.,B17,18.40,10.00
Discover Energy Corp.,44-24-2800,2.82,2.80
Discover Energy Corp.,42-48-6650,6.66,6.65
EndurEnergy Systems. Inc.,ESP-5100,5.12,4.50
e-ON Batteries Inc.,EB48125F-T110A,6.40,6.40
e-ON Batteries Inc.,EBR-P48192EDA1,9.00,5.00
EVE POWER CO.. LTD.,LF50K,0.16,0.48
EVE POWER CO.. LTD.,LF280K,0.90,0.90
FnS Power Technology Inc,FCIFP48100A,4.80,3.50
FnS Power Technology Inc,SSIF2P15S48100C,4.80,3.50
Fortress Power LLC,eFlex 5.4,5.40,5.00
Fortress Power LLC,eVaultMax,18.43,9.20
GoodWe Technologies Co.. Ltd.,SECU-S2.5,2.56,2.88
GoodWe Technologies Co.. Ltd.,SECU-S5,5.12,5.76
GoodWe Technologies Co.. Ltd.,SECU-S7.5,7.68,8.64
GoodWe Technologies Co.. Ltd.,LX F9.6-30,9.60,6.72
GoodWe Technologies Co.. Ltd.,SECU-S10,10.24,11.52
GoodWe Technologies Co.. Ltd.,LX F12.8-30,12.80,8.96
GoodWe Technologies Co.. Ltd.,SECU-S13,12.80,14.40
GoodWe Technologies Co.. Ltd.,SECU-S15,15.36,17.28
GoodWe Technologies Co.. Ltd.,LX F16.0-30,16.00,11.20
GoodWe Technologies Co.. Ltd.,SECU-S18,17.92,20.16
GoodWe Technologies Co.. Ltd.,LX F19.2-30,19.20,13.44
GoodWe Technologies Co.. Ltd.,SECU-S20,20.48,23.04
GuangZhou MeriTech Power Co Ltd,MERITSUN LFP48V100AH,5.00,4.80
GuangZhou MeriTech Power Co Ltd,MERITSUN LFP51.2V100AH,5.00,4.80
Holu Hou Energy LLC,HH8200H-EB,8.20,6.40
Humless. LLC,LFP48100-P5KWH,4.92,5.12
Humless. LLC,W48100B-IP65,4.92,5.12
Humless. LLC,LFP48100-5KWH,5.12,5.12
KORE Power. Inc.,KORE-M1-ESR1500N,110.70,110.00
LG Energy Solution. Ltd.,RESU 10H Prime,9.60,5.00
LG Energy Solution. Ltd.,RESU 16H Prime,16.00,7.00
LG Energy Solution. Ltd.,SR22F617F_G16D1,110.91,110.91
Polarium Inc.,810-00046,4.74,6.00
Polarium Inc.,810-00061,4.74,6.00
Polarium Inc.,810-00164,8.55,6.00
Polarium Inc.,SLB48-200-228-1U,9.67,6.00
ShanDong Sacred Sun Power Sources Co.. Ltd,FCIFP48100A,4.80,3.50
ShanDong Sacred Sun Power Sources Co.. Ltd,SSIF2P15S48100C,4.80,3.50
Shanghai PYTES Energy Co.. Ltd.,E-BOX 48100R,5.12,2.56
Shenzhen BYD Electronics Co.. Ltd.,HVL 12.0,12.00,7.50
Shenzhen BYD Electronics Co.. Ltd.,HVL 16.0,16.00,10.00
Shenzhen BYD Electronics Co.. Ltd.,HVL 20.0,20.00,12.50
Shenzhen BYD Electronics Co.. Ltd.,HVL 24.0,24.00,15.00
Shenzhen BYD Electronics Co.. Ltd.,HVL 28.0,28.00,17.50
Shenzhen BYD Electronics Co.. Ltd.,HVL 32.0,32.00,20.00
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 5.0,5.12,5.12
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 7.5,7.68,7.68
Shenzhen BYD Lithium Battery Company Limited,Battery-BOX H 10.0,10.24,10.24
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 6.6H-C1-US,6.60,3.50
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 9.9H-C1-US,9.90,5.20
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 13.2H-C1-US,13.20,5.20
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 16.5H-C1-US,16.50,5.20
Shenzhen Growatt New Energy Technology Co.. Ltd,ARO 19.8H-C1-US,19.80,5.20
Shenzhen GSL Energy Co.. Ltd.,GSL051200A-B-GBP2,10.24,5.12
Shenzhen GSL Energy Co.. Ltd.,GSL051280A-B-GBP2,14.34,7.68
SimpliPhi Power. Inc.,AmpliPHI3.8-48,3.80,1.90
SimpliPhi Power. Inc.,PHI3.8 24V 60 VTE BRK,3.80,1.90
SimpliPhi Power. Inc.,PHI3.8 48V 60 VTE BRK,3.80,1.90
SimpliPhi Power. Inc.,SPHI-B-4.9,4.90,2.48
SolarEdge Technologies Ltd.,BAT-10K1P,9.70,5.00
SolaX Power Network Technology (Zhe jiang) Co.. Ltd.,T-BAT H 10.0,10.00,5.50
SolaX Power Network Technology (Zhe jiang) Co.. Ltd.,T-BAT H 15.0,15.00,8.30
SolaX Power Network Technology (Zhe jiang) Co.. Ltd.,T-BAT H 20.0,20.00,11.10
StackRack Battery Systems. LLC,SR5K-UL,5.12,2.56
Stored Energy Inc,PF5-LFP09600-2A01,9.60,9.60
Stored Energy Inc,PF5-LFP14400-2A01,14.40,14.40
Stored Energy Inc,C1-LFP19200-1A01,19.20,14.40
Stored Energy Inc,PF5-LFP19200-2A01,19.20,14.40
Stored Energy Inc,PF5-LFP24000-2A01,24.00,14.40
Stored Energy Inc,PF5-LFP28800-2A01,28.80,14.40
Stored Energy Inc,PF5-LFP33600-2A01,33.60,14.40
Stored Energy Inc,PF5-LFP38400-2A01,38.40,14.40
Storz Power LLC,SP5.12-LFPv4,5.12,5.12
Tigo Energy. Inc,TSB-7-US,6.60,3.50
Tigo Energy. Inc,TSB-10-US,9.90,5.20
Tigo Energy. Inc,TSB-14-US,13.20,5.20
Tigo Energy. Inc,TSB-17-US,16.50,5.20
Tigo Energy. Inc,TSB-20-US,19.80,5.20
TROES Corp.,TR-S138-6P9,55.30,55.30
TROES Corp.,TR-S138-7P9,64.51,64.51
TROES Corp.,TR-S138-8P9,73.73,73.73
Yotta Energy. Inc.,SL-1000,1.00,0.68
